# Colunas:
# 1:Processos  2:FIFO    3:SJF      4:LJF      5:PRIO_EST   6:PRIO_DIN   7:PRIO_DIN_Q
10           1798.27   1559.64    2325.56    685.82       7147.82      14491.20
20           3972.20   2341.45    4829.88    2885.29      23600.80     23697.05
30           7519.58   3314.73    7501.42    7076.09      38665.27     26884.56
40           9228.75   4086.23    9857.37    8087.80      32145.54     41688.04
50           12303.79  5287.38    10474.55   9198.01      55206.32     52325.02
60           14548.66  6851.87    13645.00   14240.84     65572.81     59788.88
70           18489.64  9198.65    16750.08   16483.00     73007.97     76940.13
80           22742.98  10694.42   18301.95   17167.87     87758.33     80259.59
90           19486.94  11513.85   21612.05   20949.68     86864.20     95967.04
100          23885.93  13156.58   23669.14   22507.52     98216.15     109672.33
